service,type,genre,score,popularity
netflix,Movie,Horror,5.35,78.98100000000001
netflix,Movie,Comedy,5.4,73.743
netflix,Movie,Horror,5.4,73.743
netflix,Movie,Horror,4.95,2.9160000000000004
amazon,Movie,Documentary,6.15,1.696
amazon,Movie,Horror,6.15,1.696
amazon,Movie,Horror,6.449999999999999,2.049
amazon,Movie,Documentary,6.449999999999999,2.049
amazon,Movie,Drama,6.449999999999999,2.049
amazon,Movie,Documentary,5.95,2.533
amazon,Movie,Horror,5.95,2.533
amazon,Movie,Drama,5.95,2.533
amazon,Movie,Documentary,5.6,2.708
amazon,Movie,Drama,5.6,2.708
amazon,Movie,Horror,5.6,2.708
amazon,Movie,Horror,5.75,1.8619999999999999
amazon,Movie,Documentary,5.75,1.8619999999999999
amazon,Movie,Drama,5.75,1.8619999999999999
amazon,Movie,Horror,6.35,1.6280000000000001
amazon,Movie,Documentary,6.35,1.6280000000000001
amazon,Movie,Drama,6.35,1.6280000000000001
netflix,Movie,Drama,7.05,3.735
